id,name,symbol,timeframe,returnPct,winRate,maxDrawdown,profitFactor,tradeCount,score,decision
bt-001,TrendFibPA_v7,XAUUSD,H1,9.88,37.63,11.14,1.16,34,57,NEEDS_IMPROVEMENT
bt-002,TrendFibPA_v8,EURUSD,H1,12.45,44.20,8.10,1.42,62,71,PASS
bt-003,MeanRevert_M5,GBPUSD,M15,15.30,52.10,6.20,1.68,108,79,PASS
bt-004,LondonBreakout_X,USDJPY,H4,7.50,43.00,9.90,1.08,28,65,NEEDS_IMPROVEMENT
bt-005,ScalpM1_v3,EURUSD,M1,5.20,61.00,4.80,1.09,18,60,NEEDS_IMPROVEMENT
bt-006,SwingH4_A,AUDUSD,H4,20.10,48.30,12.50,1.55,55,68,PASS
bt-007,BreakRetest_v2,NAS100,M30,14.20,47.90,7.30,1.47,73,73,PASS
bt-008,SessionFlow_v1,XAGUSD,H1,6.40,40.50,10.80,1.03,24,58,NEEDS_IMPROVEMENT
bt-009,PullbackTrend_v5,GBPJPY,H1,18.70,49.80,8.90,1.62,96,77,PASS
bt-010,AsianRange_v4,USDCHF,M15,4.10,55.40,5.10,0.98,16,54,NEEDS_IMPROVEMENT
bt-011,ImpulseFade_v3,US30,M5,11.80,46.70,9.40,1.31,52,69,PASS
bt-012,VolatilitySwitch_v2,EURJPY,H1,13.60,45.20,7.80,1.40,66,72,PASS
